ful_000003|Feccere go’o so sowaama laabi teemedere, hawra e capanɗe joyi.
ful_000225|Hannde ko ko jogori wulde. Naange ngee maa feeñ no feewi, etee maa nguleeki kii tolno e degereeji capanɗe nayi e jeetati.
ful_000233|nan
ful_000238|Sappo e go’o so a ɓeydii heen tati, tottu maa sappo e nayi.
ful_000239|Ndee yontere maa nguleeki kii tolno e degereeji noogaas e jeegom. So ki lesɗii, maa ki tolno e degereeji sappo e joyi. E ciimtol weeyo, ina jogori toɓde e ɗeen balɗe ɗiɗi.
ful_000252|nan
ful_000255|nan
ful_000261|nan
ful_000262|Nayaɓal teemedere fota e noogaas e joyi
ful_000263|Capanɗe jeegom feccee e hakkunde wonata ko capanɗe tati
ful_000264|Caggal nde cood-mi oo pom boɗeejo oo ko ɓooyi, etee mi ñaamaani ɗum, ko ndeen nji’-mi heen ngilngu mawngu, ina yalti heen.
ful_000270|Ñalawma hannde oo, asamaan oo ina waɗi duule, henndu nduu ina wifa doole haa tolnii e capanɗe jeetati e nder teemedere e waktu fof.
ful_000271|nan
ful_000273|nan
ful_000277|Ñande go’o lewru siilo, jamma oo fof ko ko jaangata haa tolnoo e degereeji sappo e tati e nder leydi ndii fof.
ful_000281|Waɗaa e natal ngal ko puccu, ngu goobu roos, laaci kii e leeɓi ɗii ina ndanwi tal, engu doga, naange ngee ina jiimi e maggu.
ful_000283|nan
ful_000285|Yeru, e rogere joyaɓere:  e ñalnde jeeɗaɓere e pottital ngal, Erling Haland naatnii bii mum jeeɗaɓiijo e nder pottitte jeeɗiɗi, ɗe waɗi e Manchester City.
ful_000288|Ñande go’o lewru siilo, jamma oo fof ko ko jaangata haa tolnoo e degereeji sappo e tati e nder leydi ndii fof.
ful_000290|nan
ful_000299|Sappo e go’o, so a sowii ɗum laabi teemedere e sappo, tottat maa ujunere e teemedde ɗiɗi e sappo
ful_000308|nan
ful_000309|Ñaaki tati diwooji, ngootu nguu ardii, ɗiɗi ɗii ngoni caggal, eɗi ndiwa dow piindi, etee eɗi ƴeewra bannge gooto.
ful_000313|nan
ful_000317|nan
ful_000318|So a ɓeydii jeeɗiɗi e jeegom tottu maa sappo e tati.
ful_000320|nan
ful_000322|Miliyoŋ peccaaɗo pecce joyi fota e ujunnaaje teemedde ɗiɗi
ful_000326|Joyaɓe ɗiɗi so sowaama e capanɗe jeetati, wona capanɗe jeetati e ɗiɗi.
ful_000327|So a ƴettii jeetati, a sowii ɗum laabi jeenayi, tottu maa capanɗe jeeɗiɗi e ɗiɗi.
ful_000330|nan
ful_000333|nan
ful_000341|nan
ful_000347|Nayaɓal teemedere fota e noogaas e joyi
ful_000356|ɗiɗaɓal goo so ɓeydaama jeegoɓal goo fota e tataɓe ɗiɗi.
ful_000357|Korwal ngal goobu cooyo ; ɓernde, nde goobu haako ina nataa e dow korwal ngal.
ful_000359|nan
ful_000372|Jeetaɓal tati, so a sowii ɗum laabi jeetati fota e tati.
ful_000373|So a ƴettii jeetati, a sowii ɗum laabi jeenayi, tottu maa capanɗe jeeɗiɗi e ɗiɗi.
ful_000379|nan
ful_000381|nan
ful_000384|nan
ful_000391|nan
ful_000393|nan
ful_000394|Jeetaɓal tati, so a sowii ɗum laabi jeetati fota e tati.
ful_000395|nan
ful_000398|Janngoowo oo soodii defte jeegom, ɗe fawondiri ngam tarde, ngam heblude memuwaar, mo o winndata oo.
ful_000399|nan
ful_000400|So a ƴettii sappo e ɗiɗi, a sowii ɗum laabi nayi, ndañaa capanɗe nayi e nayi.
ful_000405|Natal jooɗngal nji’aten ɗoo. Haayre waɗnde kuɗooli, ɗi goobu haako ina kurli maayo wooto, e les asamaan ƴiiwnuɗo.
ful_000407|nan
ful_000409|Caggal nde cood-mi oo pom boɗeejo oo ko ɓooyi, etee mi ñaamaani ɗum, ko ndeen nji’-mi heen ngilngu mawngu, ina yalti heen.
ful_000410|Yeru, e rogere nayaɓere: ɓiy taanam nayaɓo oo resii rewɓe nayo, ɓe nganndu-ɗaa, gooto heen fof jibinii sukaaɓe nayo.
ful_000412|Leggal, ngal goobu haako gittangal e lekki banana, etee engal wondi e koɓi mum ɗi goobu haako, bananuuji oolɗi ina pawaa kadi yeeso leggal ngal.
ful_000415|nan
ful_000417|Miɗo yi’a galle sukaaɓe njoyo: gadano oo ko suka debbo, ɗiɗaɓo oo ko suka gorko, tataɓo oo ko suka debbo, tataɓo oo e joyaɓo oo ko sukaaɓe worɓe.
ful_000421|Sappo e go’o, so a sowii ɗum laabi teemedere e sappo, tottat maa ujunere e teemedde ɗiɗi e sappo
ful_000431|nan
ful_000433|So nayaɓal go’oo sowaama laabi nayi wona joyi.
ful_000434|nan
ful_000438|Natal lewru ji’otoondu dow asamaan e nder feccere jamma, ina tiimi maayo deeƴngo.
ful_000439|nan
ful_000440|nan
ful_000441|"Ladde sukkunde yahdunde e asamaan laaɓɗo baɗɗo duule seeɗa. Eɗen cooynoo kadi ""volcan"" mo yaltinaani hay dara."
ful_000444|E ngal natal, cukalel ngel ko ko yiɗi hollitde puɗal naange yaltoowe e duule ɗee.
ful_000450|Barraade ɓaleere, waɗnde ko ranwi, ina uddaa haa tiiɗi, fawaa e dow jayngol boɗewol coy.
ful_000451|Ñalawma hannde oo, asamaan oo ina waɗi duule, henndu nduu ina wifa doole haa tolnii e capanɗe jeetati e nder teemedere e waktu fof.
ful_000455|Miliyoŋ peccaaɗo pecce joyi fota e ujunnaaje teemedde ɗiɗi
ful_000456|Waɗaa e natal ngal ko puccu, ngu goobu roos, laaci kii e leeɓi ɗii ina ndanwi tal, engu doga, naange ngee ina jiimi e maggu.
ful_000459|nan
ful_000460|nan
ful_000469|"Ladde sukkunde yahdunde e asamaan laaɓɗo baɗɗo duule seeɗa. Eɗen cooynoo kadi ""volcan"" mo yaltinaani hay dara."
ful_000470|nan
ful_000478|ɗiɗaɓal goo so ɓeydaama jeegoɓal goo fota e tataɓe ɗiɗi.
ful_000490|nan
ful_000493|nan
ful_000496|nan
ful_000501|Nayaɓal tati so sowaama e teemedere e noogaas, wona capanɗe nayi
ful_000512|nan
ful_000513|Suka gorko oo ko ko nati e kayee mum welo baɗɗo ponooje ɗiɗi.
ful_000516|nan
ful_000518|nan
ful_000520|nan
ful_000527|Gorko dañɗo duuɓi capanɗe tati, ombo ñaantii ha o yooɗi, ombo jooɗii e jooɗorgal, ombo fawondiri koyɗe, omo jogii kayitol surnaal, ombo tara ngam humpitaade kabaruuji jolɗi…
ful_000530|Suka gorko oo ko ko nati e kayee mum welo baɗɗo ponooje ɗiɗi.
ful_000531|So nayaɓal go’oo sowaama laabi nayi wona joyi.
ful_000535|ɗiɗaɓal goo so ɓeydaama jeegoɓal goo fota e tataɓe ɗiɗi.
ful_000554|nan
ful_000556|nan
ful_000561|nan
ful_000562|nan
ful_000566|Feccere go’o so sowaama laabi teemedere, hawra e capanɗe joyi.
ful_000573|nan
ful_000579|nan
ful_000585|nan
ful_000592|E ngal natal, eɗen nji’a ɓiɗɗo gonɗo hakkunde baaba mum e neene mum, yummiraaɗo oo heedi mbo nano, baabiraaɗo heedi mbo ñaamo.
ful_000607|Neene am fawii e dow taabal ngal orasuuji ɗiɗi kuftaaɗi jooni jooni, o takkondiri ɗi e feccere oraas gooto, gonɗo yeeso ɗiɗi ɗii.
ful_000611|Neene am fawii e dow taabal ngal orasuuji ɗiɗi kuftaaɗi jooni jooni, o takkondiri ɗi e feccere oraas gooto, gonɗo yeeso ɗiɗi ɗii.
ful_000612|nan
ful_000613|nan
ful_000621|nan
ful_000622|Hannde ko ko jogori wulde. Naange ngee maa feeñ no feewi, etee maa nguleeki kii tolno e degereeji capanɗe nayi e jeetati.
ful_000623|Feccere go’o so sowaama laabi teemedere, hawra e capanɗe joyi.
ful_000629|nan
ful_000633|nan
ful_000636|Cukalel gorel dogowel caggal fuku-bal ngam fettude ɗum.
ful_000645|nan
ful_000652|nan
ful_000654|nan
ful_000655|Jeetaɓal tati, so a sowii ɗum laabi jeetati fota e tati.
ful_000658|Mboɗdi ndii nani taarii catal lekki, ina yaltini ɗemngal mum.
ful_000667|Hikka, leydi Kanadaa ina jaangi haa ɓurti. Alet gooto, to wuro Yukon, weeyo ngoo ko ko jippii tan haa lesɗi degereeji sappo e tati caggal mere.
ful_000674|nan
ful_000684|nan
ful_000689|Poŋ gooto mahaaɗo no laañal e dow maayo. Potooji lampa ooli ina cawndinaa e banngeeji makko ɗiɗi ɗii.
ful_000691|So a ƴettii jeetati, a sowii ɗum laabi jeenayi, tottu maa capanɗe jeeɗiɗi e ɗiɗi.
ful_000693|Waɗaa e natal ngal ko puccu, ngu goobu roos, laaci kii e leeɓi ɗii ina ndanwi tal, engu doga, naange ngee ina jiimi e maggu.
ful_000695|nan
ful_000696|Ñalawma hannde oo, asamaan oo ina waɗi duule, henndu nduu ina wifa doole haa tolnii e capanɗe jeetati e nder teemedere e waktu fof.
ful_000697|nan
ful_000698|Sappo e go’o so a ɓeydii heen tati, tottu maa sappo e nayi.
ful_000703|Mboɗdi ndii nani taarii catal lekki, ina yaltini ɗemngal mum.
ful_000705|nan
ful_000707|nan
ful_000708|nan
ful_000710|Eɗen mbaawi wi’de ko nji’aten koo, ko fallanteere, pot piindi baɗɗo piindol cowtingol ina fawaa heen, ridooji ɗii ina ngudditaa.
ful_000721|So a ƴettii sappo e ɗiɗi, a sowii ɗum laabi nayi, ndañaa capanɗe nayi e nayi.
ful_000733|nan
ful_000738|Ñalawma hannde oo, asamaan oo ina waɗi duule, henndu nduu ina wifa doole haa tolnii e capanɗe jeetati e nder teemedere e waktu fof.
ful_000747|nan
ful_000750|Natal jooɗngal nji’aten ɗoo. Haayre waɗnde kuɗooli, ɗi goobu haako ina kurli maayo wooto, e les asamaan ƴiiwnuɗo.
ful_000751|nan
ful_000754|Ko miin fawi e dow taabal hee pom, mo goobu haako, gonɗo caggal feccere pom, mo goobu haako.
ful_000756|nan
ful_000766|nan
ful_000767|nan
ful_000769|nan
ful_000773|Natal jooɗngal nji’aten ɗoo. Haayre waɗnde kuɗooli, ɗi goobu haako ina kurli maayo wooto, e les asamaan ƴiiwnuɗo.
ful_000775|nan
ful_000781|Cowpotal ngal goobu wiyolee nji’aten, tati pentagon ɗi goobu giri, ɗiɗi ɗii ina keedi dow, gooto oo ina heedi les e hakkunde ɗiɗi ɗii.
ful_000782|nan
ful_000783|Jeetaɓal tati, so a sowii ɗum laabi jeetati fota e tati.
ful_000784|nan
ful_000786|nan
ful_000790|nan
ful_000794|E nder lewru colte, to Dakaar, waɗiino ñalawma ɓuuɓɗo. Ñande heen, nguleeki kii diwaano degereeji noogaas. Nde ki lesɗi ndee, ki tolninoo ko e degereeji sappo e jeegom.
ful_000796|nan
ful_000797|Miɗo yi’a galle sukaaɓe njoyo: gadano oo ko suka debbo, ɗiɗaɓo oo ko suka gorko, tataɓo oo ko suka debbo, tataɓo oo e joyaɓo oo ko sukaaɓe worɓe.
ful_000798|Janngoowo oo ko ko nati mbegeyal, ngal goobu wiyolee, naatni nder heen mbege gooto daneejo. E nder oon mbege daneejo, o waɗii kaareeji tati ooli deggondirɗi, ngoni e hakkunde hee.
ful_000799|E ngal natal ƴettangal e sit gooto, eɗen nji’a heen ladde sukkunde e lekɗe keewɗe, eɗen cooynoo kaaƴe toowɗe dow asamaan, mo goobu baka, ina waɗi seeɗa duule.
ful_000802|Nayaɓal teemedere fota e noogaas e joyi
ful_000803|nan
ful_000810|nan
ful_000813|Caggal nde cood-mi oo pom boɗeejo oo ko ɓooyi, etee mi ñaamaani ɗum, ko ndeen nji’-mi heen ngilngu mawngu, ina yalti heen.
ful_000814|Natal lewru ji’otoondu dow asamaan e nder feccere jamma, ina tiimi maayo deeƴngo.
ful_000816|nan
ful_000817|nan
ful_000819|nan
ful_000820|nan
ful_000822|Ko neene am fawi dow taabal ñaamirgal, ngal kaasuuji nayi, o reggondiri ɗi, etee eɗi njogii goobuuji ceertuɗi.
ful_000823|nan
ful_000831|nan
ful_000832|Ko miin fawi e dow taabal hee pom, mo goobu haako, gonɗo caggal feccere pom, mo goobu haako.
ful_000833|nan
ful_000835|nan
ful_000843|Sappoɓal miliyoŋ geɗe woni ujunnaaje teemedere
ful_000856|Yeru, e rogere nayaɓere: ɓiy taanam nayaɓo oo resii rewɓe nayo, ɓe nganndu-ɗaa, gooto heen fof jibinii sukaaɓe nayo.
ful_000862|Barraade ɓaleere, waɗnde ko ranwi, ina uddaa haa tiiɗi, fawaa e dow jayngol boɗewol coy.
ful_000865|nan
ful_000867|nan
ful_000877|nan
ful_000878|Hannde, to Tammbaakundaa, diiwaan keedɗo fuɗnaange leydi Senegaal, maa ñalawma oo wul no feewi sabu nguleeki kii maa toow haa tolnoo e degereeji capanɗe nayi e joyi.
ful_000880|nan
ful_000885|Capanɗe jeegom feccee e hakkunde wonata ko capanɗe tati
ful_000887|ɗiɗaɓal goo so ɓeydaama jeegoɓal goo fota e tataɓe ɗiɗi.
ful_000895|Cukalel gorel dogowel caggal fuku-bal ngam fettude ɗum.
ful_000900|Nayaɓal tati so sowaama e teemedere e noogaas, wona capanɗe nayi
ful_000904|Neene am soodii tamaate ɗiɗi boɗeeje, kese, pettaaɗe jooni, eɗi ngoni caggal karot gooto boɗeejo keso pul.
ful_000913|nan
ful_000924|nan
ful_000935|nan
ful_000936|nan
ful_000939|nan
ful_000942|Sappoɓal miliyoŋ geɗe woni ujunnaaje teemedere
ful_000951|nan
ful_000954|Go’o ɓeydaa heen ɗiɗi, tottu maa tati.
ful_000955|Joyaɓal cowangal laabi noogaas, ɓeydee heen capanɗe tati, ɓeydee kadi capanɗe nayi hawra sappo e jeetati.
ful_000957|nan
ful_000966|nan
ful_000968|nan
ful_000972|Sagata gorko oo nehat rawaandu, ndu nji’-ɗen e natal ngal, endu fijira bal oo, etee ombo haɓɓani ndu ɓoggol e daande ndee.
ful_000973|Tatiwal ngal goobu haako, engal woni dow mbege mo goobu baka, ina takkondiri e maggal. Mbege mo haako gonɗo les tatiwal, ngal goobu haako takkondirngal e mbege oo.
ful_000977|nan
ful_000986|nan
ful_000989|Ñaaki tati diwooji, ngootu nguu ardii, ɗiɗi ɗii ngoni caggal, eɗi ndiwa dow piindi, etee eɗi ƴeewra bannge gooto.
ful_000990|nan
ful_000993|Joyaɓal cowangal laabi noogaas, ɓeydee heen capanɗe tati, ɓeydee kadi capanɗe nayi hawra sappo e jeetati.
ful_000995|E ngal natal ƴettangal e sit gooto, eɗen nji’a heen ladde sukkunde e lekɗe keewɗe, eɗen cooynoo kaaƴe toowɗe dow asamaan, mo goobu baka, ina waɗi seeɗa duule.
ful_000997|Sappoɓal miliyoŋ geɗe woni ujunnaaje teemedere
ful_001006|Cukalel gorel dogowel caggal fuku-bal ngam fettude ɗum.
ful_001007|nan
ful_001011|nan
ful_001026|nan
ful_001027|nan
ful_001031|Janngoowo oo soodii defte jeegom, ɗe fawondiri ngam tarde, ngam heblude memuwaar, mo o winndata oo.
ful_001035|Janngoowo oo soodii defte jeegom, ɗe fawondiri ngam tarde, ngam heblude memuwaar, mo o winndata oo.
ful_001047|So capanɗe jeegom feccaama laabi tati wona noogaas.
ful_001049|nan
ful_001052|Hannde ko ko jogori wulde. Naange ngee maa feeñ no feewi, etee maa nguleeki kii tolno e degereeji capanɗe nayi e jeetati.
ful_001057|nan
ful_001058|nan
ful_001068|nan
ful_001069|nan
ful_001070|So a ƴettii sappo, a sowii ɗum laabi sappo, tottat maa ko teemedere.
ful_001073|Ko neene am fawi dow taabal ñaamirgal, ngal kaasuuji nayi, o reggondiri ɗi, etee eɗi njogii goobuuji ceertuɗi.
ful_001075|nan
ful_001076|nan
ful_001078|So a ƴettii jeetati, a sowii ɗum laabi jeenayi, tottu maa capanɗe jeeɗiɗi e ɗiɗi.
ful_001080|Ñande go’o lewru siilo, jamma oo fof ko ko jaangata haa tolnoo e degereeji sappo e tati e nder leydi ndii fof.
ful_001085|Ñalawma hannde oo, asamaan oo ina waɗi duule, henndu nduu ina wifa doole haa tolnii e capanɗe jeetati e nder teemedere e waktu fof.
ful_001086|nan
ful_001087|nan
ful_001088|Cowpotal ngal goobu wiyolee nji’aten, tati pentagon ɗi goobu giri, ɗiɗi ɗii ina keedi dow, gooto oo ina heedi les e hakkunde ɗiɗi ɗii.
ful_001089|Go’o ɓeydaa heen ɗiɗi, tottu maa tati.
ful_001095|Jeetaɓal tati, so a sowii ɗum laabi jeetati fota e tati.
ful_001098|Feccere go’o so sowaama laabi teemedere, hawra e capanɗe joyi.
ful_001103|nan
ful_001104|nan
ful_001105|So a sowii nayi laabi joyi tottu maa noogaas.
ful_001110|nan
ful_001111|nan
ful_001112|Miliyoŋ peccaaɗo pecce joyi fota e ujunnaaje teemedde ɗiɗi
ful_001117|nan
ful_001121|Suka gorko oo ko ko nati e kayee mum welo baɗɗo ponooje ɗiɗi.
ful_001122|nan
ful_001125|nan
ful_001126|nan
ful_001127|nan
ful_001137|nan
ful_001139|E ngal natal, cukalel ngel ko ko yiɗi hollitde puɗal naange yaltoowe e duule ɗee.
ful_001143|nan
ful_001145|nan
ful_001148|nan
ful_001160|nan
ful_001164|Ko neene am fawi dow taabal ñaamirgal, ngal kaasuuji nayi, o reggondiri ɗi, etee eɗi njogii goobuuji ceertuɗi.
ful_001168|Gaynaako oo ina jogii ngaari mawndi, ndi nguru mum waɗi ko ranwni e ko ɓawli, endi darii, endi yeeɓa yeeso makko.
ful_001169|nan
ful_001180|nan
ful_001183|Sappo e go’o, so a sowii ɗum laabi teemedere e sappo, tottat maa ujunere e teemedde ɗiɗi e sappo
ful_001185|nan
ful_001186|nan
ful_001187|So capanɗe jeegom feccaama laabi tati wona noogaas.
ful_001188|nan
ful_001192|Poŋ gooto mahaaɗo no laañal e dow maayo. Potooji lampa ooli ina cawndinaa e banngeeji makko ɗiɗi ɗii.
ful_001196|Baaba am, caggal nde heɗii kabaruuji metewoo, yaltinii parayseewal mum baɗngal goobuuji keewɗi, ceertuɗi, o udditi ngal.
ful_001197|Ko neene am fawi dow taabal ñaamirgal, ngal kaasuuji nayi, o reggondiri ɗi, etee eɗi njogii goobuuji ceertuɗi.
ful_001200|nan
ful_001204|Baaba am, caggal nde heɗii kabaruuji metewoo, yaltinii parayseewal mum baɗngal goobuuji keewɗi, ceertuɗi, o udditi ngal.
ful_001209|E ngal natal, eɗen nji’a heen ladde sukkunde, naange e dow asamaan laaɓɗo. Ina waɗi nagge wonnge hedde lekki, enge dura.
ful_001215|nan
ful_001218|nan
ful_001220|nan
ful_001226|nan
ful_001232|nan
ful_001233|nan
ful_001236|Hikka, leydi Kanadaa ina jaangi haa ɓurti. Alet gooto, to wuro Yukon, weeyo ngoo ko ko jippii tan haa lesɗi degereeji sappo e tati caggal mere.
ful_001237|Sappo e go’o, so a sowii ɗum laabi teemedere e sappo, tottat maa ujunere e teemedde ɗiɗi e sappo
ful_001239|nan
ful_001241|E ngal natal, cukalel ngel ko ko yiɗi hollitde puɗal naange yaltoowe e duule ɗee.
ful_001244|nan
ful_001250|Baaba am, caggal nde heɗii kabaruuji metewoo, yaltinii parayseewal mum baɗngal goobuuji keewɗi, ceertuɗi, o udditi ngal.
ful_001252|E ngal natal, eɗen nji’a heen ladde sukkunde, naange e dow asamaan laaɓɗo. Ina waɗi nagge wonnge hedde lekki, enge dura.
ful_001256|So a sowii nayi laabi joyi tottu maa noogaas.
ful_001257|nan
ful_001258|nan
ful_001268|nan
ful_001275|So a ɓeydii jeeɗiɗi e jeegom tottu maa sappo e tati.
ful_001276|So a sowii nayi laabi joyi tottu maa noogaas.
ful_001277|nan
ful_001290|nan
ful_001300|nan
ful_001304|nan
ful_001309|nan
ful_001313|ɗiɗaɓal goo so ɓeydaama jeegoɓal goo fota e tataɓe ɗiɗi.
ful_001315|nan
ful_001316|nan
ful_001318|Neene am fawii e dow taabal ngal orasuuji ɗiɗi kuftaaɗi jooni jooni, o takkondiri ɗi e feccere oraas gooto, gonɗo yeeso ɗiɗi ɗii.
ful_001319|Sagata gorko oo nehat rawaandu, ndu nji’-ɗen e natal ngal, endu fijira bal oo, etee ombo haɓɓani ndu ɓoggol e daande ndee.
ful_001325|nan
ful_001327|nan
ful_001328|E ngal natal, cukalel ngel ko ko yiɗi hollitde puɗal naange yaltoowe e duule ɗee.
ful_001332|nan
ful_001333|nan
ful_001337|Nji’at-mi e natal ngal ko janngoowo gooto natɗo mbege mo goobu baka e hoodere raneere, ina waɗi cate jeegom, ina woni kadi e nder mbege oo, e hakkunde mum teru.
ful_001342|Sappoɓal miliyoŋ geɗe woni ujunnaaje teemedere
ful_001343|Natal jooɗngal nji’aten ɗoo. Haayre waɗnde kuɗooli, ɗi goobu haako ina kurli maayo wooto, e les asamaan ƴiiwnuɗo.
ful_001344|Ko miin fawi e dow taabal hee pom, mo goobu haako, gonɗo caggal feccere pom, mo goobu haako.
ful_001349|Yeru, e rogere capanɗe tati: sagata gorko mawninoowo maanditaare jibinegol mum (aniwerseer), soodii gato, fecci ɗum e galleeji capanɗe tati, ngam mawninde duuɓi mum capanɗe tati.
ful_001352|Barraade ɓaleere, waɗnde ko ranwi, ina uddaa haa tiiɗi, fawaa e dow jayngol boɗewol coy.
ful_001353|Janngoowo oo soodii defte jeegom, ɗe fawondiri ngam tarde, ngam heblude memuwaar, mo o winndata oo.
ful_001355|nan
ful_001362|nan
ful_001363|nan
ful_001364|Waɗaa e natal ngal ko puccu, ngu goobu roos, laaci kii e leeɓi ɗii ina ndanwi tal, engu doga, naange ngee ina jiimi e maggu.
ful_001379|nan
ful_001382|Yeru, e rogere sappo-e-ɗiɗaɓere: sappo-e-ɗiɗi lewru e hitaande hee, ko lewru weltaare, sappo e ɗiɗo yimooɓe mbayliima to Place de la Nation sénégalaise.
ful_001384|nan
ful_001386|Mboɗdi ndii nani taarii catal lekki, ina yaltini ɗemngal mum.
ful_001389|Ko neene am fawi dow taabal ñaamirgal, ngal kaasuuji nayi, o reggondiri ɗi, etee eɗi njogii goobuuji ceertuɗi.
ful_001391|nan
ful_001392|nan
ful_001395|nan
ful_001396|nan
ful_001404|nan
ful_001426|nan
ful_001427|nan
ful_001428|nan
ful_001429|Yeru, e rogere capanɗe tati: sagata gorko mawninoowo maanditaare jibinegol mum (aniwerseer), soodii gato, fecci ɗum e galleeji capanɗe tati, ngam mawninde duuɓi mum capanɗe tati.
ful_001430|nan
ful_001431|Suka gorko oo ko ko nati e kayee mum welo baɗɗo ponooje ɗiɗi.
ful_001433|nan
ful_001436|nan
ful_001437|nan
ful_001439|Neene am fawii e dow taabal ngal orasuuji ɗiɗi kuftaaɗi jooni jooni, o takkondiri ɗi e feccere oraas gooto, gonɗo yeeso ɗiɗi ɗii.
ful_001440|Cowpotal ngal goobu wiyolee nji’aten, tati pentagon ɗi goobu giri, ɗiɗi ɗii ina keedi dow, gooto oo ina heedi les e hakkunde ɗiɗi ɗii.
ful_001443|So nayaɓal go’oo sowaama laabi nayi wona joyi.
ful_001444|nan
ful_001451|nan
ful_001455|Cukalel gorel dogowel caggal fuku-bal ngam fettude ɗum.
ful_001458|Sappoɓal miliyoŋ geɗe woni ujunnaaje teemedere
ful_001459|So capanɗe jeegom feccaama laabi tati wona noogaas.
ful_001461|nan
ful_001466|nan
ful_001482|Capanɗe jeegom feccee e hakkunde wonata ko capanɗe tati
ful_001484|nan
ful_001487|E ngal natal, eɗen nji’a heen ladde sukkunde, naange e dow asamaan laaɓɗo. Ina waɗi nagge wonnge hedde lekki, enge dura.
ful_001489|Yeru, e rogere nayaɓere: ɓiy taanam nayaɓo oo resii rewɓe nayo, ɓe nganndu-ɗaa, gooto heen fof jibinii sukaaɓe nayo.
ful_001491|nan
ful_001497|Kareeji tati ɗi goomu cooyum deggondirɗi, ina keedi bannge ñaamo, e mbegeeji ɗiɗi, ɗi goobu baka pawndirɗi, ina keedi bannge ñaamo. Ko ɗuum feeñi e ngal natal.
ful_001498|nan
